icd_code	label	definition	synonym	grouped_synonym
ICD10CM:Z30.42	Encounter for surveillance of injectable contraceptive		Encounter for surveillance of injectable contraceptive	Encounter for surveillance of injectable contraceptive
ICD10CM:R11.2	Nausea with vomiting, unspecified		Nausea with vomiting, unspecified	Nausea with vomiting, unspecified, Persistent nausea with vomiting NOS
ICD10CM:Y63.3	Inadvertent exposure of patient to radiation during medical care		Inadvertent exposure of patient to radiation during medical care	Inadvertent exposure of patient to radiation during medical care
ICD10CM:R05	Cough		Cough	Cough
ICD10CM:S83.512A	Sprain of anterior cruciate ligament of left knee, initial encounter		Sprain of anterior cruciate ligament of left knee, initial encounter	Sprain of anterior cruciate ligament of left knee, initial encounter
ICD10CM:R79.9	Abnormal finding of blood chemistry, unspecified		Abnormal finding of blood chemistry, unspecified	Abnormal finding of blood chemistry, unspecified
ICD10CM:Z12.83	Encounter for screening for malignant neoplasm of skin		Encounter for screening for malignant neoplasm of skin	Encounter for screening for malignant neoplasm of skin
ICD10CM:H52.222	Regular astigmatism, left eye		Regular astigmatism, left eye	Regular astigmatism, left eye
ICD10CM:L02.93	Carbuncle, unspecified		Carbuncle, unspecified	Carbuncle, unspecified
ICD10CM:K13.0	Diseases of lips		Abscess of lips	Abscess of lips, Angular cheilitis, Cellulitis of lips, Cheilitis NOS, Cheilodynia, Cheilosis, Diseases of lips, Exfoliative cheilitis, Fistula of lips, Glandular cheilitis, Hypertrophy of lips, Perl̬che NEC
ICD10CM:D72.9	Disorder of white blood cells, unspecified		Abnormal leukocyte differential NOS	Abnormal leukocyte differential NOS, Disorder of white blood cells, unspecified
ICD10CM:J38.7	Other diseases of larynx		Abscess of larynx	Abscess of larynx, Cellulitis of larynx, Disease of larynx NOS, Necrosis of larynx, Other diseases of larynx, Pachyderma of larynx, Perichondritis of larynx, Ulcer of larynx
ICD10CM:E22.9	Hyperfunction of pituitary gland, unspecified		Hyperfunction of pituitary gland, unspecified	Hyperfunction of pituitary gland, unspecified
ICD10CM:J30.89	Other allergic rhinitis		Other allergic rhinitis	Other allergic rhinitis, Perennial allergic rhinitis
ICD10CM:N18.31	Chronic kidney disease, stage 3a		Chronic kidney disease, stage 3a	Chronic kidney disease, stage 3a
ICD10CM:L02.213	Cutaneous abscess of chest wall		Cutaneous abscess of chest wall	Cutaneous abscess of chest wall
ICD10CM:H18.621	Keratoconus, unstable, right eye		Keratoconus, unstable, right eye	Keratoconus, unstable, right eye
ICD10CM:R30.9	Painful micturition, unspecified		Painful micturition, unspecified	Painful micturition, unspecified, Painful urination NOS
ICD10CM:R11.11	Vomiting without nausea		Vomiting without nausea	Vomiting without nausea
ICD10CM:Z92.25	Personal history of immunosuppression therapy		Personal history of immunosuppression therapy	Personal history of immunosuppression therapy
ICD10CM:K64.9	Unspecified hemorrhoids		Hemorrhoids (bleeding) NOS	Hemorrhoids (bleeding) NOS, Hemorrhoids (bleeding) without mention of degree, Unspecified hemorrhoids
ICD10CM:B95.7	Other staphylococcus as the cause of diseases classified elsewhere		Other staphylococcus as the cause of diseases classified elsewhere	Other staphylococcus as the cause of diseases classified elsewhere
ICD10CM:Z95.818	Presence of other cardiac implants and grafts		Presence of other cardiac implants and grafts	Presence of other cardiac implants and grafts
ICD10CM:K50.90	Crohn's disease, unspecified, without complications		Crohn's disease NOS	Crohn's disease NOS, Crohn's disease, unspecified, without complications, Regional enteritis NOS
ICD10CM:E11.69	Type 2 diabetes mellitus with other specified complication		Type 2 diabetes mellitus with other specified complication	Type 2 diabetes mellitus with other specified complication
ICD10CM:M81.0	Age-related osteoporosis without current pathological fracture		Age-related osteoporosis without current pathological fracture	Age-related osteoporosis without current pathological fracture, Involutional osteoporosis without current pathological fracture, Osteoporosis NOS, Postmenopausal osteoporosis without current pathological fracture, Senile osteoporosis without current pathological fracture
ICD10CM:H35.30	Unspecified macular degeneration		Age-related macular degeneration	Age-related macular degeneration, Unspecified macular degeneration
ICD10CM:I82.91	Chronic embolism and thrombosis of unspecified vein		Chronic embolism and thrombosis of unspecified vein	Chronic embolism and thrombosis of unspecified vein
ICD10CM:D89.9	Disorder involving the immune mechanism, unspecified		Disorder involving the immune mechanism, unspecified	Disorder involving the immune mechanism, unspecified, Immune disease NOS
ICD10CM:J10.1	Influenza due to other identified influenza virus with other respiratory manifestations		Influenza due to other identified influenza virus NOS	Influenza due to other identified influenza virus NOS, Influenza due to other identified influenza virus with laryngitis, Influenza due to other identified influenza virus with other respiratory manifestations, Influenza due to other identified influenza virus with pharyngitis, Influenza due to other identified influenza virus with upper respiratory symptoms
ICD10CM:R30.0	Dysuria		Dysuria	Dysuria, Strangury
ICD10CM:H53.043	Amblyopia suspect, bilateral		Amblyopia suspect, bilateral	Amblyopia suspect, bilateral
ICD10CM:Z79.2	Long term (current) use of antibiotics		Long term (current) use of antibiotics	Long term (current) use of antibiotics
ICD10CM:Z68.43	Body mass index [BMI] 50.0-59.9, adult		Body mass index [BMI] 50.0-59.9, adult	Body mass index [BMI] 50.0-59.9, adult
ICD10CM:R22.2	Localized swelling, mass and lump, trunk		Localized swelling, mass and lump, trunk	Localized swelling, mass and lump, trunk
ICD10CM:E83.119	Hemochromatosis, unspecified		Hemochromatosis, unspecified	Hemochromatosis, unspecified
ICD10CM:F43.24	Adjustment disorder with disturbance of conduct		Adjustment disorder with disturbance of conduct	Adjustment disorder with disturbance of conduct
ICD10CM:F33.1	Major depressive disorder, recurrent, moderate		Major depressive disorder, recurrent, moderate	Major depressive disorder, recurrent, moderate
ICD10CM:Z75.1	Person awaiting admission to adequate facility elsewhere		Person awaiting admission to adequate facility elsewhere	Person awaiting admission to adequate facility elsewhere
ICD10CM:R10.84	Generalized abdominal pain		Generalized abdominal pain	Generalized abdominal pain
ICD10CM:H66.001	Acute suppurative otitis media without spontaneous rupture of ear drum, right ear		Acute suppurative otitis media without spontaneous rupture of ear drum, right ear	Acute suppurative otitis media without spontaneous rupture of ear drum, right ear
ICD10CM:Z88.8	Allergy status to other drugs, medicaments and biological substances		Allergy status to other drugs, medicaments and biological substances	Allergy status to other drugs, medicaments and biological substances
ICD10CM:B09	Unspecified viral infection characterized by skin and mucous membrane lesions		Unspecified viral infection characterized by skin and mucous membrane lesions	Unspecified viral infection characterized by skin and mucous membrane lesions, Viral enanthema NOS, Viral exanthema NOS
ICD10CM:R13.14	Dysphagia, pharyngoesophageal phase		Dysphagia, pharyngoesophageal phase	Dysphagia, pharyngoesophageal phase
ICD10CM:R82.998	Other abnormal findings in urine		Cells and casts in urine	Cells and casts in urine, Crystalluria, Melanuria, Other abnormal findings in urine
ICD10CM:Y92.9	Unspecified place or not applicable		Unspecified place or not applicable	Unspecified place or not applicable
ICD10CM:R19.03	Right lower quadrant abdominal swelling, mass and lump		Right lower quadrant abdominal swelling, mass and lump	Right lower quadrant abdominal swelling, mass and lump
ICD10CM:Q68.1	Congenital deformity of finger(s) and hand		Congenital clubfinger	Congenital clubfinger, Congenital deformity of finger(s) and hand, Spade-like hand (congenital), spade-like hand
ICD10CM:R26.81	Unsteadiness on feet		Unsteadiness on feet	Unsteadiness on feet
ICD10CM:A49.9	Bacterial infection, unspecified		Bacterial infection, unspecified	Bacterial infection, unspecified
ICD10CM:Q25.49	Other congenital malformations of aorta		Aortic arch	Aortic arch, Bovine arch, Other congenital malformations of aorta
ICD10CM:R21	Rash and other nonspecific skin eruption		Rash and other nonspecific skin eruption	Rash and other nonspecific skin eruption, rash NOS
ICD10CM:R79.82	Elevated C-reactive protein (CRP)		Elevated C-reactive protein (CRP)	Elevated C-reactive protein (CRP), elevated c-reactive protein
ICD10CM:Q53.9	Undescended testicle, unspecified		Cryptorchism NOS	Cryptorchism NOS, Undescended testicle, unspecified
ICD10CM:Z96.22	Myringotomy tube(s) status		Myringotomy tube(s) status	Myringotomy tube(s) status
ICD10CM:S83.8X2A	Sprain of other specified parts of left knee, initial encounter		Sprain of other specified parts of left knee, initial encounter	Sprain of other specified parts of left knee, initial encounter
ICD10CM:B37.42	Candidal balanitis		Candidal balanitis	Candidal balanitis
ICD10CM:N95.0	Postmenopausal bleeding		Postmenopausal bleeding	Postmenopausal bleeding
ICD10CM:R10.12	Left upper quadrant pain		Left upper quadrant pain	Left upper quadrant pain
ICD10CM:S40.811A	Abrasion of right upper arm, initial encounter		Abrasion of right upper arm, initial encounter	Abrasion of right upper arm, initial encounter
ICD10CM:G47.429	Narcolepsy in conditions classified elsewhere without cataplexy		Narcolepsy in conditions classified elsewhere without cataplexy	Narcolepsy in conditions classified elsewhere without cataplexy
ICD10CM:T43.595A	Adverse effect of other antipsychotics and neuroleptics, initial encounter		Adverse effect of other antipsychotics and neuroleptics, initial encounter	Adverse effect of other antipsychotics and neuroleptics, initial encounter
ICD10CM:Z96.642	Presence of left artificial hip joint		Presence of left artificial hip joint	Presence of left artificial hip joint
ICD10CM:J01.90	Acute sinusitis, unspecified		Acute sinusitis, unspecified	Acute sinusitis, unspecified
ICD10CM:H65.33	Chronic mucoid otitis media, bilateral		Chronic mucoid otitis media, bilateral	Chronic mucoid otitis media, bilateral
ICD10CM:H90.71	Mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side		Mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side	Mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side
ICD10CM:M17.12	Unilateral primary osteoarthritis, left knee		Unilateral primary osteoarthritis, left knee	Unilateral primary osteoarthritis, left knee
ICD10CM:K22.2	Esophageal obstruction		Compression of esophagus	Compression of esophagus, Constriction of esophagus, Esophageal obstruction, Stenosis of esophagus, Stricture of esophagus
ICD10CM:Z87.01	Personal history of pneumonia (recurrent)		Personal history of pneumonia (recurrent)	Personal history of pneumonia (recurrent), personal history of pneumonia
ICD10CM:R00.0	Tachycardia, unspecified		Rapid heart beat	Rapid heart beat, Sinoauricular tachycardia NOS, Sinus [sinusal] tachycardia NOS, Tachycardia, unspecified
ICD10CM:Z86.74	Personal history of sudden cardiac arrest		Personal history of sudden cardiac arrest	Personal history of sudden cardiac arrest, Personal history of sudden cardiac death successfully resuscitated
ICD10CM:Z96.7	Presence of other bone and tendon implants		Presence of other bone and tendon implants	Presence of other bone and tendon implants, Presence of skull plate
ICD10CM:R29.898	Other symptoms and signs involving the musculoskeletal system		Other symptoms and signs involving the musculoskeletal system	Other symptoms and signs involving the musculoskeletal system
